,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,month,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
221,36,2014-06-20,Think Like a Man Too,24000000.0,65028687.0,70027933.0,2014,Jun,Think Like a Man Too - 2014,46027933.0,65.72796172635854,low budget,Think Like a Man Too,SGem,65200000.0,5000000,2014,tt2239832,Think Like a Man Too,Think Like a Man Too,2014.0,106.0,"Comedy,Romance"
223,71,2018-11-16,Green Book,23000000.0,85080171.0,322034439.0,2018,Nov,Green Book - 2018,299034439.0,92.85790672841671,low budget,Green Book,Uni.,85100000.0,234700000,2018,tt6966692,Green Book,Green Book,2018.0,130.0,"Biography,Comedy,Drama"
224,73,2015-01-16,The Wedding Ringer,23000000.0,64460211.0,80171596.0,2015,Jan,The Wedding Ringer - 2015,57171596.0,71.31153532231042,low budget,The Wedding Ringer,SGem,64500000.0,15300000,2015,tt0884732,The Wedding Ringer,The Wedding Ringer,2015.0,101.0,Comedy
225,78,2018-10-05,The Hate U Give,23000000.0,29719483.0,35067665.0,2018,Oct,The Hate U Give - 2018,12067665.0,34.41251363613745,low budget,The Hate U Give,Fox,29700000.0,5200000,2018,tt5580266,The Hate U Give,The Hate U Give,2018.0,133.0,"Crime,Drama"
226,86,2016-02-26,Eddie the Eagle,23000000.0,15789389.0,45060480.0,2016,Feb,Eddie the Eagle - 2016,22060480.0,48.95749002229892,low budget,Eddie the Eagle,Fox,15800000.0,30400000,2016,,,,,,
227,3,2016-11-18,Nocturnal Animals,22500000.0,10663357.0,32398681.0,2016,Nov,Nocturnal Animals - 2016,9898681.0,30.55272836570106,low budget,Nocturnal Animals,Focus,10700000.0,19600000,2016,tt4550098,Nocturnal Animals,Nocturnal Animals,2016.0,116.0,"Drama,Thriller"
229,11,2014-02-28,Son of God,22000000.0,59700064.0,70949793.0,2014,Feb,Son of God - 2014,48949793.0,68.99215759516028,low budget,Son of God,Fox,59700000.0,8100000,2014,tt3210686,Son of God,Son of God,2014.0,138.0,"Biography,Drama,History"
231,60,2018-04-06,Blockers,21000000.0,60311495.0,94045328.0,2018,Apr,Blockers - 2018,73045328.0,77.67034211417712,low budget,Blockers,Uni.,60300000.0,33700000,2018,tt2531344,Blockers,Blockers,2018.0,102.0,Comedy
232,73,2017-09-22,Victoria and Abdul,21000000.0,22245070.0,68271146.0,2017,Sep,Victoria and Abdul - 2017,47271146.0,69.240299554954,low budget,Victoria and Abdul,Focus,22200000.0,43200000,2017,,,,,,
234,95,2017-11-17,Wonder,20000000.0,132422809.0,304604712.0,2017,Nov,Wonder - 2017,284604712.0,93.43411338955255,low budget,Wonder,LGF,132400000.0,173500000,2017,tt2543472,Wonder,Wonder,2017.0,113.0,"Drama,Family"
