,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,month,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y,movie_id,primary_title,original_title,start_year,runtime_minutes,genres
357,96,2014-10-10,Addicted,5000000.0,17390770.0,17499242.0,2014,Oct,Addicted - 2014,12499242.0,71.42733382394506,very-low budget,Addicted,LGF,17400000.0,,2014,tt2205401,Addicted,Addicted,2014.0,106.0,"Drama,Thriller"
358,96,2014-10-10,Addicted,5000000.0,17390770.0,17499242.0,2014,Oct,Addicted - 2014,12499242.0,71.42733382394506,very-low budget,Addicted,LGF,17400000.0,,2014,tt3435418,Addicted,Addicted,2014.0,97.0,"Documentary,Music"
359,12,2017-03-03,Before I Fall,5000000.0,12241072.0,18945682.0,2017,Mar,Before I Fall - 2017,13945682.0,73.60876214432398,very-low budget,Before I Fall,ORF,12200000.0,,2017,tt1691916,Before I Fall,Before I Fall,2017.0,98.0,"Drama,Fantasy,Mystery"
360,15,2016-01-29,Fifty Shades of Black,5000000.0,11686940.0,22113075.0,2016,Jan,Fifty Shades of Black - 2016,17113075.0,77.38894296700029,very-low budget,Fifty Shades of Black,ORF,11700000.0,10500000,2016,tt4667094,Fifty Shades of Black,Fifty Shades of Black,2016.0,92.0,Comedy
361,22,2016-03-11,The Perfect Match,5000000.0,9669521.0,10182050.0,2016,Mar,The Perfect Match - 2016,5182050.0,50.89397518181505,very-low budget,The Perfect Match,LGF,9700000.0,745000,2016,tt4871980,The Perfect Match,The Perfect Match,2016.0,96.0,"Comedy,Romance"
363,49,2016-03-04,The Other Side of the Door,5000000.0,3000342.0,12905107.0,2016,Mar,The Other Side of the Door - 2016,7905107.0,61.25564863584626,very-low budget,The Other Side of the Door,Fox,3000000.0,11300000,2016,tt3702652,The Other Side of the Door,The Other Side of the Door,2016.0,96.0,Horror
364,51,2014-10-10,Kill the Messenger,5000000.0,2450846.0,6656705.0,2014,Oct,Kill the Messenger - 2014,1656705.0,24.887763540670647,very-low budget,Kill the Messenger,Focus,2500000.0,,2014,tt1216491,Kill the Messenger,Kill the Messenger,2014.0,112.0,"Biography,Crime,Drama"
366,81,2015-01-23,The Boy Next Door,4000000.0,36006065.0,53401938.0,2015,Jan,The Boy Next Door - 2015,49401938.0,92.50963513721169,very-low budget,The Boy Next Door,Uni.,35400000.0,17000000,2015,tt3181822,The Boy Next Door,The Boy Next Door,2015.0,91.0,"Horror,Thriller"
368,89,2014-04-18,A Haunted House 2,4000000.0,17329487.0,21206861.0,2014,Apr,A Haunted House 2 - 2014,17206861.0,81.138179761729,very-low budget,A Haunted House 2,ORF,17300000.0,6600000,2014,tt2828996,A Haunted House 2,A Haunted House 2,2014.0,86.0,"Comedy,Fantasy"
371,91,2018-04-13,Truth or Dare,3500000.0,41411015.0,95127344.0,2018,Apr,Truth or Dare - 2018,91627344.0,96.32072141108029,very-low budget,Truth or Dare,Uni.,41400000.0,53900000,2018,tt6772950,Truth or Dare,Truth or Dare,2018.0,100.0,"Horror,Thriller"
372,91,2018-04-13,Truth or Dare,3500000.0,41411015.0,95127344.0,2018,Apr,Truth or Dare - 2018,91627344.0,96.32072141108029,very-low budget,Truth or Dare,Uni.,41400000.0,53900000,2018,tt6869948,Truth or Dare,Truth or Dare,2018.0,92.0,"Comedy,Drama,Romance"
373,94,2016-02-19,The Witch,3500000.0,25138705.0,40454520.0,2016,Feb,The Witch - 2016,36954520.0,91.34830916298104,very-low budget,The Witch,A24,25100000.0,15300000,2016,,,,,,
374,95,2018-02-02,Winchester,3500000.0,25091816.0,44378040.0,2018,Feb,Winchester - 2018,40878040.0,92.11321635655834,very-low budget,Winchester,LGF,25100000.0,,2018,tt1072748,Winchester,Winchester,2018.0,99.0,"Biography,Drama,Fantasy"
379,10,2016-06-24,Swiss Army Man,3000000.0,4210454.0,5837111.0,2016,Jun,Swiss Army Man - 2016,2837111.0,48.604712159833866,very-low budget,Swiss Army Man,A24,4200000.0,,2016,tt4034354,Swiss Army Man,Swiss Army Man,2016.0,97.0,"Adventure,Comedy,Drama"
388,11,2017-10-06,The Florida Project,2000000.0,5904366.0,11295324.0,2017,Oct,The Florida Project - 2017,9295324.0,82.29355793600963,very-low budget,The Florida Project,A24,5900000.0,,2017,tt5649144,The Florida Project,The Florida Project,2017.0,111.0,Drama
392,37,2014-04-25,Locke,2000000.0,1370646.0,2088390.0,2014,Apr,Locke - 2014,88390.0,4.232447004630361,very-low budget,Locke,A24,1400000.0,,2014,,,,,,
399,14,2015-04-17,Unfriended,1000000.0,32789645.0,64364198.0,2015,Apr,Unfriended - 2015,63364198.0,98.4463412408246,very-low budget,Unfriended,Uni.,32500000.0,31600000,2015,,,,,,
402,41,2014-06-06,Obvious Child,1000000.0,3122616.0,3324070.0,2014,Jun,Obvious Child - 2014,2324070.0,69.91639766912249,very-low budget,Obvious Child,A24,3100000.0,,2014,tt2910274,Obvious Child,Obvious Child,2014.0,84.0,"Comedy,Drama,Romance"
