,id,release_date,movie,production_budget,domestic_gross_x,worldwide_gross,year_x,movie_and_year,profit,profit_margin,budget_tier,title,studio,domestic_gross_y,foreign_gross,year_y
49,14,2014-08-01,Guardians of the Galaxy,170000000.0,333172112.0,770867516.0,2014,Guardians of the Galaxy - 2014,600867516.0,77.94692389139406,super-high budget,Guardians of the Galaxy,BV,333200000.0,440200000,2014
50,16,2014-04-04,Captain America The Winter Soldier,170000000.0,259746958.0,714401889.0,2014,Captain America The Winter Soldier - 2014,544401889.0,76.20387031199466,super-high budget,,,,,
51,17,2014-07-11,Dawn of the Planet of the Apes,170000000.0,208545589.0,710644566.0,2014,Dawn of the Planet of the Apes - 2014,540644566.0,76.07805531295655,super-high budget,Dawn of the Planet of the Apes,Fox,208500000.0,502100000,2014
52,22,2019-03-29,Dumbo,170000000.0,113883318.0,345004422.0,2019,Dumbo - 2019,175004422.0,50.725269254664795,super-high budget,,,,,
53,23,2015-05-22,Tomorrowland,170000000.0,93436322.0,206627518.0,2015,Tomorrowland - 2015,36627518.0,17.726350466059415,super-high budget,Tomorrowland,BV,93400000.0,115700000,2015
54,24,2019-02-14,Alita Battle Angel,170000000.0,85710210.0,402976036.0,2019,Alita Battle Angel - 2019,232976036.0,57.81386861426172,super-high budget,,,,,
55,25,2019-05-31,Godzilla King of the Monsters,170000000.0,85576941.0,299276941.0,2019,Godzilla King of the Monsters - 2019,129276941.0,43.196425547533245,super-high budget,,,,,
56,26,2016-05-27,Alice Through the Looking Glass,170000000.0,77042381.0,276928112.0,2016,Alice Through the Looking Glass - 2016,106928112.0,38.612227277236485,super-high budget,Alice Through the Looking Glass,BV,77000000.0,222400000,2016
57,28,2016-11-04,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,Doctor Strange - 2016,511404566.0,75.6063148751719,super-high budget,Doctor Strange,BV,232600000.0,445100000,2016
58,29,2014-11-07,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,Big Hero 6 - 2014,487127828.0,74.69821208120565,super-high budget,Big Hero 6,BV,222500000.0,435300000,2014
59,32,2014-11-05,Interstellar,165000000.0,188017894.0,666379375.0,2014,Interstellar - 2014,501379375.0,75.23932969864201,super-high budget,Interstellar,Par.,188000000.0,489400000,2014
60,33,2016-06-24,Independence Day Resurgence,165000000.0,103144286.0,384169424.0,2016,Independence Day Resurgence - 2016,219169424.0,57.05019980975894,super-high budget,,,,,
61,35,2017-03-17,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,2017,Beauty and the Beast - 2017,1099199706.0,87.29351672831473,super-high budget,,,,,
62,36,2018-12-21,Aquaman,160000000.0,335061807.0,1146894640.0,2018,Aquaman - 2018,986894640.0,86.04928522466545,super-high budget,Aquaman,WB,335100000.0,812700000,2018
63,39,2015-11-20,The Hunger Games Mockingjay  Part 2,160000000.0,281723902.0,648986787.0,2015,The Hunger Games Mockingjay  Part 2 - 2015,488986787.0,75.3461852837383,super-high budget,,,,,
64,41,2014-05-16,Godzilla,160000000.0,200676069.0,529076069.0,2014,Godzilla - 2014,369076069.0,69.75860195256725,super-high budget,,,,,
65,46,2016-06-10,Warcraft,160000000.0,47225655.0,425522281.0,2016,Warcraft - 2016,265522281.0,62.39914872988754,super-high budget,Warcraft,Uni.,47400000.0,386300000,2016
66,49,2015-07-01,Terminator Genisys,155000000.0,89760956.0,432150894.0,2015,Terminator Genisys - 2015,277150894.0,64.13289845004925,super-high budget,,,,,
67,50,2018-03-23,Pacific Rim Uprising,155000000.0,59874525.0,290930148.0,2018,Pacific Rim Uprising - 2018,135930148.0,46.722606417537726,super-high budget,Pacific Rim Uprising,Uni.,59900000.0,231100000,2018
68,52,2017-07-14,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,2017,War for the Planet of the Apes - 2017,337592267.0,68.95375800533222,super-high budget,War for the Planet of the Apes,Fox,146900000.0,343800000,2017
69,55,2017-06-02,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,Wonder Woman - 2017,671133378.0,81.73256574159137,super-high budget,Wonder Woman,WB,412600000.0,409300000,2017
70,57,2016-03-04,Zootopia,150000000.0,341268248.0,1019429616.0,2016,Zootopia - 2016,869429616.0,85.28588951647643,super-high budget,Zootopia,BV,341300000.0,682500000,2016
71,62,2016-11-23,Moana,150000000.0,248757044.0,637517365.0,2016,Moana - 2016,487517365.0,76.47122914055839,super-high budget,Moana,BV,248800000.0,394600000,2016
72,68,2015-07-31,Mission ImpossibleâRogue Nation,150000000.0,195042377.0,688858992.0,2015,Mission ImpossibleâRogue Nation - 2015,538858992.0,78.2248614386963,super-high budget,,,,,
73,69,2017-07-21,Dunkirk,150000000.0,190068280.0,499837368.0,2017,Dunkirk - 2017,349837368.0,69.99023890506722,super-high budget,Dunkirk,WB,188000000.0,337200000,2017
74,75,2015-05-15,Mad Max Fury Road,150000000.0,153636354.0,370098020.0,2015,Mad Max Fury Road - 2015,220098020.0,59.47019657116782,super-high budget,,,,,
75,76,2019-05-10,PokÃ©mon Detective Pikachu,150000000.0,139507806.0,411258433.0,2019,PokÃ©mon Detective Pikachu - 2019,261258433.0,63.526583781930626,super-high budget,,,,,
76,78,2018-03-29,Ready Player One,150000000.0,137690172.0,579290136.0,2018,Ready Player One - 2018,429290136.0,74.10623957180587,super-high budget,Ready Player One,WB,137700000.0,445200000,2018
77,92,2017-02-17,The Great Wall,150000000.0,45157105.0,334486852.0,2017,The Great Wall - 2017,184486852.0,55.15518798329329,super-high budget,The Great Wall,Uni.,45500000.0,289400000,2017
78,93,2015-10-09,Pan,150000000.0,35088320.0,151525973.0,2015,Pan - 2015,1525973.0,1.007070253229788,super-high budget,Pan,WB,35100000.0,93300000,2015
79,99,2014-06-13,How to Train Your Dragon 2,145000000.0,177002924.0,614586270.0,2014,How to Train Your Dragon 2 - 2014,469586270.0,76.40689239608298,super-high budget,How to Train Your Dragon 2,Fox,177000000.0,444500000,2014
80,1,2014-03-07,Mr Peabody  Sherman,145000000.0,111506430.0,269806430.0,2014,Mr Peabody  Sherman - 2014,124806430.0,46.25776709621042,super-high budget,,,,,
81,4,2016-07-15,Ghostbusters,144000000.0,128350574.0,229008658.0,2016,Ghostbusters - 2016,85008658.0,37.12028127774977,super-high budget,,,,,
82,11,2016-01-29,Kung Fu Panda 3,140000000.0,143528619.0,517599142.0,2016,Kung Fu Panda 3 - 2016,377599142.0,72.95204171725617,super-high budget,Kung Fu Panda 3,Fox,143500000.0,377600000,2016
83,16,2014-12-12,Exodus Gods and Kings,140000000.0,65014513.0,268314513.0,2014,Exodus Gods and Kings - 2014,128314513.0,47.82242733176345,super-high budget,,,,,
84,17,2016-07-01,The BFG,140000000.0,55483770.0,199646680.0,2016,The BFG - 2016,59646680.0,29.876119152094088,super-high budget,The BFG,BV,55500000.0,127900000,2016
85,27,2015-12-25,The Revenant,135000000.0,183637894.0,532938302.0,2015,The Revenant - 2015,397938302.0,74.66873754553299,super-high budget,The Revenant,Fox,183600000.0,349300000,2015
86,32,2016-06-03,Teenage Mutant Ninja Turtles Out of the Shadows,135000000.0,82051601.0,245328374.0,2016,Teenage Mutant Ninja Turtles Out of the Shadows - 2016,110328374.0,44.971713708093134,super-high budget,,,,,
87,35,2018-11-02,The Nutcracker and the Four Realms,132900000.0,54858851.0,170293899.0,2018,The Nutcracker and the Four Realms - 2018,37393899.0,21.958449022298794,super-high budget,The Nutcracker and the Four Realms,BV,54900000.0,119100000,2018
88,37,2014-11-26,Penguins of Madagascar,132000000.0,83350911.0,366942531.0,2014,Penguins of Madagascar - 2014,234942531.0,64.02706449964504,super-high budget,Penguins of Madagascar,Fox,83400000.0,289700000,2014
89,41,2018-07-06,AntMan and the Wasp,130000000.0,216648740.0,623144660.0,2018,AntMan and the Wasp - 2018,493144660.0,79.13807044418867,super-high budget,,,,,
90,43,2015-07-17,AntMan,130000000.0,180202163.0,518858449.0,2015,AntMan - 2015,388858449.0,74.94499699281181,super-high budget,,,,,
91,44,2015-03-27,Home,130000000.0,177397510.0,385997896.0,2015,Home - 2015,255997896.0,66.32105994691743,super-high budget,,,,,
92,45,2018-12-19,Mary Poppins Returns,130000000.0,171958438.0,341528518.0,2018,Mary Poppins Returns - 2018,211528518.0,61.9358287380265,super-high budget,Mary Poppins Returns,BV,172000000.0,177600000,2018
93,49,2014-04-11,Rio 2,130000000.0,131538435.0,492846291.0,2014,Rio 2 - 2014,362846291.0,73.62260762149066,super-high budget,Rio 2,Fox,131500000.0,368600000,2014
94,51,2014-03-28,Noah,130000000.0,101200044.0,352831065.0,2014,Noah - 2014,222831065.0,63.15517172502937,super-high budget,Noah,Par.,101200000.0,261399999,2014
95,56,2019-02-22,How to Train Your Dragon The Hidden World,129000000.0,160791800.0,519258283.0,2019,How to Train Your Dragon The Hidden World - 2019,390258283.0,75.15687198002772,super-high budget,,,,,
96,59,2017-03-03,Logan,127000000.0,226277068.0,615461394.0,2017,Logan - 2017,488461394.0,79.36507452163603,super-high budget,,,,,
97,60,2014-12-19,Night at the Museum Secret of the Tomb,127000000.0,113746621.0,353756621.0,2014,Night at the Museum Secret of the Tomb - 2014,226756621.0,64.09961186281231,super-high budget,,,,,
98,62,2014-11-21,The Hunger Games Mockingjay  Part 1,125000000.0,337135885.0,766575131.0,2014,The Hunger Games Mockingjay  Part 1 - 2014,641575131.0,83.69370529449121,super-high budget,,,,,
99,68,2014-08-08,Teenage Mutant Ninja Turtles,125000000.0,191204754.0,485004754.0,2014,Teenage Mutant Ninja Turtles - 2014,360004754.0,74.22705675169526,super-high budget,,,,,
100,71,2017-03-31,The Boss Baby,125000000.0,175003033.0,510878762.0,2017,The Boss Baby - 2017,385878762.0,75.53235536536161,super-high budget,The Boss Baby,Fox,175000000.0,353000000,2017
101,73,2016-11-04,Trolls,125000000.0,153707064.0,344150134.0,2016,Trolls - 2016,219150134.0,63.67864264728138,super-high budget,Trolls,Fox,153700000.0,193200000,2016
102,78,2018-07-13,Skyscraper,125000000.0,68420120.0,304115534.0,2018,Skyscraper - 2018,179115534.0,58.89719990429689,super-high budget,Skyscraper,Uni.,68400000.0,236400000,2018
103,80,2016-12-21,Assassinâs Creed,125000000.0,54647948.0,240759682.0,2016,Assassinâs Creed - 2016,115759682.0,48.08100801528721,super-high budget,,,,,
104,86,2016-07-29,Jason Bourne,120000000.0,162192920.0,416168316.0,2016,Jason Bourne - 2016,296168316.0,71.1655127537388,super-high budget,Jason Bourne,Uni.,162400000.0,253100000,2016
105,90,2018-04-13,Rampage,120000000.0,101028233.0,428056280.0,2018,Rampage - 2018,308056280.0,71.96630312257071,super-high budget,,,,,
106,94,2017-03-24,Power Rangers,120000000.0,85364450.0,142531552.0,2017,Power Rangers - 2017,22531552.0,15.808115244545995,super-high budget,,,,,
107,96,2014-02-12,RoboCop,120000000.0,58607007.0,242981799.0,2014,RoboCop - 2014,122981799.0,50.61358484715145,super-high budget,,,,,
108,98,2015-08-07,Fantastic Four,120000000.0,56117548.0,167849187.0,2015,Fantastic Four - 2015,47849187.0,28.50724978489172,super-high budget,Fantastic Four,Fox,56100000.0,111900000,2015
109,3,2018-10-05,Venom,116000000.0,213511408.0,853628605.0,2018,Venom - 2018,737628605.0,86.41095210252473,super-high budget,,,,,
110,10,2016-04-22,The Huntsman Winterâs War,115000000.0,48003015.0,165149302.0,2016,The Huntsman Winterâs War - 2016,50149302.0,30.36603933088376,super-high budget,,,,,
111,14,2017-12-15,Ferdinand,111000000.0,84410380.0,289847930.0,2017,Ferdinand - 2017,178847930.0,61.704056330504066,super-high budget,Ferdinand,Fox,84400000.0,211700000,2017
112,15,2018-05-18,Deadpool 2,110000000.0,324591735.0,786680557.0,2018,Deadpool 2 - 2018,676680557.0,86.01719604975568,super-high budget,Deadpool 2,Fox,318500000.0,460500000,2018
113,19,2015-05-29,San Andreas,110000000.0,155190832.0,456258539.0,2015,San Andreas - 2015,346258539.0,75.89086217628028,super-high budget,San Andreas,WB (NL),155200000.0,318800000,2015
114,22,2015-03-20,The Divergent Series Insurgent,110000000.0,130179072.0,295075882.0,2015,The Divergent Series Insurgent - 2015,185075882.0,62.721453459893404,super-high budget,,,,,
115,26,2014-03-07,300 Rise of an Empire,110000000.0,106580051.0,330780051.0,2014,300 Rise of an Empire - 2014,220780051.0,66.7452738859394,super-high budget,,,,,
116,28,2016-12-21,Passengers,110000000.0,100014699.0,302239672.0,2016,Passengers - 2016,192239672.0,63.605042557086946,super-high budget,,,,,
117,30,2016-09-30,Miss Peregrineâs Home for Peculiar Children,110000000.0,87242834.0,295986876.0,2016,Miss Peregrineâs Home for Peculiar Children - 2016,185986876.0,62.83619007485994,super-high budget,,,,,
118,34,2016-03-18,The Divergent Series Allegiant,110000000.0,66184051.0,172022517.0,2016,The Divergent Series Allegiant - 2016,62022517.0,36.05488286164305,super-high budget,,,,,
119,40,2017-03-31,Ghost in the Shell,110000000.0,40563557.0,167910690.0,2017,Ghost in the Shell - 2017,57910690.0,34.488983399448834,super-high budget,,,,,
120,46,2015-10-02,The Martian,108000000.0,228433663.0,655271443.0,2015,The Martian - 2015,547271443.0,83.5182806829566,super-high budget,The Martian,Fox,228400000.0,401700000,2015
121,47,2016-11-23,Allied,106000000.0,40098064.0,119266661.0,2016,Allied - 2016,13266661.0,11.123528477082125,super-high budget,Allied,Par.,40100000.0,79400000,2016
122,52,2016-07-22,Ice Age Collision Course,105000000.0,64063008.0,402156682.0,2016,Ice Age Collision Course - 2016,297156682.0,73.89077324842262,super-high budget,,,,,
123,54,2017-09-22,Kingsman The Golden Circle,104000000.0,100234838.0,408803696.0,2017,Kingsman The Golden Circle - 2017,304803696.0,74.55991689468483,super-high budget,,,,,
124,58,2018-03-09,A Wrinkle in Time,103000000.0,100478608.0,133401882.0,2018,A Wrinkle in Time - 2018,30401882.0,22.789694975967432,super-high budget,A Wrinkle in Time,BV,100500000.0,32200000,2018
125,62,2018-12-21,Bumblebee,102000000.0,127195589.0,465195589.0,2018,Bumblebee - 2018,363195589.0,78.07373878603136,super-high budget,Bumblebee,Par.,127200000.0,340800000,2018
126,84,2014-07-25,Hercules,100000000.0,72688614.0,243388614.0,2014,Hercules - 2014,143388614.0,58.913443666678674,super-high budget,,,,,
127,94,2019-03-15,Wonder Park,100000000.0,45216793.0,115149422.0,2019,Wonder Park - 2019,15149422.0,13.156316147205672,super-high budget,,,,,
128,96,2014-08-15,The Expendables 3,100000000.0,39322544.0,209461378.0,2014,The Expendables 3 - 2014,109461378.0,52.258501803611736,super-high budget,The Expendables 3,LGF,39300000.0,175300000,2014
129,99,2017-10-20,Geostorm,100000000.0,33700160.0,220796009.0,2017,Geostorm - 2017,120796009.0,54.70932629040411,super-high budget,Geostorm,WB,33700000.0,187900000,2017
130,100,2015-12-25,Point Break,100000000.0,28782481.0,126704591.0,2015,Point Break - 2015,26704591.0,21.07626155393217,super-high budget,,,,,
131,2,2014-04-18,Transcendence,100000000.0,23022309.0,103039258.0,2014,Transcendence - 2014,3039258.0,2.9496116907208316,super-high budget,Transcendence,WB,23000000.0,80000000,2014
132,7,2015-11-06,The Peanuts Movie,99000000.0,130178411.0,250091610.0,2015,The Peanuts Movie - 2015,151091610.0,60.41450570852817,super-high budget,The Peanuts Movie,Fox,130199999.0,116100000,2015
133,8,2019-02-08,The LEGO Movie 2 The Second Part,99000000.0,105806508.0,190325698.0,2019,The LEGO Movie 2 The Second Part - 2019,91325698.0,47.98390283586402,super-high budget,,,,,
134,12,2017-05-19,Alien Covenant,97000000.0,74262031.0,238521247.0,2017,Alien Covenant - 2017,141521247.0,59.33276334078532,super-high budget,,,,,
135,13,2015-03-13,Cinderella,95000000.0,201151353.0,534551353.0,2015,Cinderella - 2015,439551353.0,82.22808726105684,super-high budget,,,,,
136,24,2015-02-06,Seventh Son,95000000.0,17725785.0,108874967.0,2015,Seventh Son - 2015,13874967.0,12.743945998165032,super-high budget,Seventh Son,Uni.,17200000.0,97000000,2015
137,29,2015-02-13,Kingsman The Secret Service,94000000.0,128261724.0,404561724.0,2015,Kingsman The Secret Service - 2015,310561724.0,76.76497937802934,super-high budget,,,,,
138,38,2017-12-20,Jumanji Welcome to the Jungle,90000000.0,404508916.0,964496193.0,2017,Jumanji Welcome to the Jungle - 2017,874496193.0,90.66870344816384,super-high budget,,,,,
139,44,2018-12-14,SpiderMan Into The SpiderVerse 3D,90000000.0,190173195.0,375381768.0,2018,SpiderMan Into The SpiderVerse 3D - 2018,285381768.0,76.02440830317578,super-high budget,,,,,
140,55,2016-09-23,The Magnificent Seven,90000000.0,93432655.0,162525156.0,2016,The Magnificent Seven - 2016,72525156.0,44.623957167590724,super-high budget,,,,,
141,56,2015-12-18,Alvin and the Chipmunks The Road Chip,90000000.0,85886987.0,249517956.0,2015,Alvin and the Chipmunks The Road Chip - 2015,159517956.0,63.93045156237173,super-high budget,,,,,
142,59,2015-07-24,Pixels,90000000.0,78765986.0,244041804.0,2015,Pixels - 2015,154041804.0,63.12107248641712,super-high budget,Pixels,Sony,78700000.0,166100000,2015
143,66,2016-06-10,Now You See Me 2,90000000.0,65075540.0,328325007.0,2016,Now You See Me 2 - 2016,238325007.0,72.58813733917015,super-high budget,Now You See Me 2,LG/S,65099999.0,269800000,2016
144,70,2018-03-16,Tomb Raider,90000000.0,58250803.0,273477501.0,2018,Tomb Raider - 2018,183477501.0,67.09052859160066,super-high budget,Tomb Raider,WB,58300000.0,216400000,2018
145,84,2018-09-14,The Predator,88000000.0,51024708.0,159487563.0,2018,The Predator - 2018,71487563.0,44.82328380677558,super-high budget,,,,,
146,95,2014-03-21,Divergent,85000000.0,150947895.0,276014965.0,2014,Divergent - 2014,191014965.0,69.20456831027259,super-high budget,Divergent,LG/S,150900000.0,137900000,2014
147,97,2019-04-05,Shazam,85000000.0,139606856.0,362899733.0,2019,Shazam - 2019,277899733.0,76.57755234556758,super-high budget,,,,,
148,15,2017-01-20,xXx Return of Xander Cage,85000000.0,44898413.0,345033359.0,2017,xXx Return of Xander Cage - 2017,260033359.0,75.36470089548646,super-high budget,,,,,
149,25,2017-12-20,The Greatest Showman,84000000.0,174340174.0,386665550.0,2017,The Greatest Showman - 2017,302665550.0,78.2757993309722,super-high budget,The Greatest Showman,Fox,174300000.0,260700000,2017
150,41,2017-02-10,The Lego Batman Movie,80000000.0,175750384.0,310660018.0,2017,The Lego Batman Movie - 2017,230660018.0,74.24837592071472,super-high budget,,,,,
